Date,Daily Trading Volume (Call),Daily Trading Volume (Put),Daily Trading Volume (Futures),Daily Trading Volume (Spots),Cumulative Trading Volume
2025-10-04,0,0,0,0,38845.61205425338
2025-10-05,0,0,362.0028993611544,0,39207.61495361454
2025-10-06,0,0,0,0,39207.61495361454
2025-10-07,0,0,0,0,39207.61495361454
2025-10-08,0,0,0,0,39207.61495361454
2025-10-09,0,0,5.699590141832498,0,39213.31454375637
2025-10-10,0,0,0,0,39213.31454375637
2025-10-11,0,0,4.7964228346303655,0,39218.110966591004
2025-10-12,0,0,462.95247686512914,0,39681.063443456136
2025-10-13,0,0,0,0,39681.063443456136
2025-10-14,0,0,385.3525787119518,0,40066.41602216809
2025-10-15,0,0,508.39612666950495,0,40574.81214883759
2025-10-16,0,0,0,0,40574.81214883759
2025-10-17,0,0,0,0,40574.81214883759
2025-10-18,0,0,0,0,40574.81214883759
2025-10-19,0,0,408.006549580752,0,40982.81869841834
2025-10-20,0,0,1096.0621176054833,0,42078.880816023826
2025-10-21,0,0,481.64579508482495,0,42560.52661110865
